UnidadFiscalizableId,SiglaInstrumento,NombreRegion,NombreRegionProyecto
104,RCA,Región Metropolitana,Región Metropolitana
104,RCA,Región Metropolitana,Región Metropolitana
104,RCA,Región Metropolitana,Región Metropolitana
105,RCA,Región Metropolitana,NA
106,RCA,Región Metropolitana,Región Metropolitana
106,RCA,Región Metropolitana,Región Metropolitana
107,RCA,Región Metropolitana,NA
108,RCA,Región Metropolitana,Región Metropolitana
108,RCA,Región Metropolitana,Región Metropolitana
108,RCA,Región Metropolitana,NA
109,RCA,Región Metropolitana,Región Metropolitana
109,RCA,Región Metropolitana,Región Metropolitana
110,RCA,Región Metropolitana,NA
111,RCA,Región Metropolitana,NA
112,RCA,Región Metropolitana,NA
113,RCA,Región Metropolitana,Región Metropolitana
114,RCA,Región Metropolitana,Región Metropolitana
115,RCA,Región Metropolitana,NA
116,RCA,Región Metropolitana,NA
117,RCA,Región Metropolitana,NA
118,RCA,Región Metropolitana,Región Metropolitana
119,RCA,Región Metropolitana,NA
120,RCA,Interregional,Interregional
121,RCA,Región Metropolitana,NA
122,RCA,Interregional,Interregional
123,RCA,Región Metropolitana,Región Metropolitana
124,RCA,Región Metropolitana,Región Metropolitana
124,RCA,Región Metropolitana,NA
125,RCA,Región Metropolitana,NA
126,RCA,Región Metropolitana,Región Metropolitana
126,PPDA,NA,NA
127,RCA,Región Metropolitana,NA
128,RCA,Interregional,Interregional
128,RCA,Región Metropolitana,NA
128,RCA,Región Metropolitana,NA
128,RCA,Región Metropolitana,NA
129,RCA,Región Metropolitana,Región Metropolitana
130,RCA,Región Metropolitana,NA
131,RCA,Región Metropolitana,NA
132,RCA,Región Metropolitana,Región Metropolitana
133,RCA,Región Metropolitana,NA
134,RCA,Región Metropolitana,Región Metropolitana
135,RCA,Región Metropolitana,Región Metropolitana
136,RCA,Región Metropolitana,Región Metropolitana
137,RCA,Región Metropolitana,NA
138,RCA,Región Metropolitana,Región Metropolitana
139,RCA,Región Metropolitana,Región Metropolitana
141,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
141,NE,NA,NA
142,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
143,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
143,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
143,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
144,RCA,Región Metropolitana,NA
145,RCA,Región Metropolitana,Región Metropolitana
145,RCA,Región Metropolitana,Región Metropolitana
146,RCA,Región Metropolitana,NA
147,RCA,Interregional,Interregional
147,NE,NA,NA
147,PPDA,NA,NA
147,PPDA,NA,NA
148,RCA,Región Metropolitana,NA
149,RCA,Región Metropolitana,Región Metropolitana
150,RCA,Región del Libertador General Bernardo O'Higgins,NA
152,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
152,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
152,RCA,Interregional,Interregional
152,NE,NA,NA
153,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
153,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
153,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
153,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
153,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
153,NE,NA,NA
154,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
154,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
